student,question,explanationText,score,upvotes,downvotes,postTimeStamp
345,310,Java Virtual Machine,0,0,0,2016-10-19 21:27:23.222199+00:00
345,311,creating a new object,0,0,0,2016-10-19 21:26:13.682048+00:00
345,317,"= is to assign
== is to compare",0,0,0,2016-10-19 21:25:39.131671+00:00
345,317,false,0,0,0,2016-10-19 21:25:20.396670+00:00
345,313,"objects are instance of classes
",0,0,0,2016-10-19 21:24:34.449195+00:00
375,313,Objects are called for their classes,0,0,0,2016-10-19 15:44:41.062606+00:00
345,308,method overloading,0,0,0,2016-10-18 16:17:16.088569+00:00
345,293,it's an infinite loop,0,0,0,2016-10-18 16:16:27.524131+00:00
345,295,M*N/2,0,0,0,2016-10-18 16:15:27.788266+00:00
345,306,true,0,0,0,2016-10-18 16:14:13.656396+00:00
345,302,true,0,0,0,2016-10-18 16:13:34.645522+00:00
345,302,true,0,0,0,2016-10-18 16:13:34.580810+00:00
345,312,A syntax error may be generated by the compiler and A runtime error may occur during execution.. ,0,0,0,2016-10-18 16:12:49.826965+00:00
371,296,else statement will be executed since the condition in the second if  is wrong.,0,0,0,2016-10-18 06:19:34.759885+00:00
371,275,"b*50 converts type to int 
b=(byte)b*50 .......casting
",0,0,0,2016-10-18 06:01:31.039535+00:00
371,286,"var 2 is assigned to a 2 in the if statement. the else statement is executed
",0,0,0,2016-10-18 05:57:37.980175+00:00
371,285,"b=false not true so the if statement is not entered.
else is executed ",0,0,0,2016-10-18 05:26:53.348844+00:00
371,298,correct answer is Box obj = new Box();,0,0,0,2016-10-18 05:21:31.753884+00:00
371,291,product is supposed to be initialized as double not int,0,0,0,2016-10-18 05:09:00.809933+00:00
371,300,constructor has no return type,0,0,0,2016-10-18 05:02:49.379770+00:00
371,303,main is defined only once,0,0,0,2016-10-18 05:00:26.949719+00:00
371,289,cant be less than 10 and greater than 24 at the same time,0,0,0,2016-10-18 04:58:44.244176+00:00
371,297,Default for string type  is null,0,0,0,2016-10-18 04:56:23.935582+00:00
371,305,return type boolean -> true,0,0,0,2016-10-18 04:54:19.182264+00:00
371,299,similar type of input arguments guarantees similar return type,0,0,0,2016-10-18 04:51:04.909305+00:00
371,290,sum /0 = syntax error ,0,0,0,2016-10-18 04:48:13.177300+00:00
371,308,mtd overloading,0,0,0,2016-10-18 04:44:23.035827+00:00
371,293,infinite loop,0,0,0,2016-10-18 04:43:02.435678+00:00
371,287," iteration 
",0,0,0,2016-10-18 04:41:15.412384+00:00
371,295,???????,0,0,0,2016-10-18 04:39:15.982096+00:00
493,307,"If I understand correctly there is only one main method because that is the one that runs the program.  Even though it may use other methods to run, there is only one main method.",0,0,0,2016-10-17 23:57:37.432722+00:00
403,295,"Very complicated series of loops that adds 1 to sum for each successful complete run through. It only gets to the statement where sum has 1 added to it if N is an even number. So it runs M times, but only adds one for each even number as you could from N, thus M * N/2.",0,0,0,2016-10-17 21:46:47.401536+00:00
403,299,Classes with the same name should have the same return type.,0,0,0,2016-10-17 21:38:32.515590+00:00
403,289,"i cannot be less than 10 and greater than 24 at the same time, thus the condition is always false.",0,0,0,2016-10-17 21:34:36.549799+00:00
403,301,A constructor is a method with the same name as the class it is contained within.,0,0,0,2016-10-17 21:31:54.546520+00:00
403,297,"if you don't declare an object entirely, then it will store a value of ""null"" in it by default.",0,0,0,2016-10-17 21:27:09.513131+00:00
403,308,Calling more than one method which has the same name is called method overloading.,0,0,0,2016-10-17 21:20:37.505255+00:00
403,307,There can only be one main method in a single program.,0,0,0,2016-10-17 21:19:13.070616+00:00
403,303,There can only be one main method in a single program.,0,0,0,2016-10-17 21:18:38.825794+00:00
403,317,"A single equals symbol ""="" is the value assignment operator in java. A double equals symbol ""=="" is the operator used to compare the values of variables.",0,0,0,2016-10-17 21:17:51.658070+00:00
403,311,Instantiation is the creation of a new object.,0,0,0,2016-10-17 21:16:04.863308+00:00
403,310,JVM = Java Virtual Machine,0,0,0,2016-10-17 21:15:33.501293+00:00
403,288,A variable followed only by ++; simply adds one to the already existing value of the variable.,0,0,0,2016-10-17 21:13:57.703325+00:00
403,293,"The i variable starts at 10 and increments by +1 for each iteration of the loop, but the condition for the loop to end is that i has to be greater than or equal to 4. i will always be greater than 4 because of the value and incrementation set to it, so the result is an infinite loop.",0,0,0,2016-10-17 21:12:25.693022+00:00
403,302,"Classes are what we've been using to call on and create objects, but the data we enter can be different every time so it is useful to think of these classes as templates.",0,0,0,2016-10-17 21:06:23.785295+00:00
472,258,,0,0,0,2016-10-16 13:01:50.261533+00:00
472,290,,0,0,0,2016-10-16 12:49:07.154032+00:00
472,310,,0,0,0,2016-10-16 12:47:57.032002+00:00
472,309,,0,0,0,2016-10-16 12:47:09.994090+00:00
472,308,,0,0,0,2016-10-16 12:45:49.885827+00:00
472,317,,0,0,0,2016-10-16 12:45:30.921289+00:00
375,309,Parameterized constructors give certain values to an object.,0,0,0,2016-10-14 18:37:29.783469+00:00
217,309,Default constructor fills all the variables with null. A parameterized constructor means that new variables are created to fill them up,0,0,0,2016-10-14 18:04:49.888204+00:00
145,285,Unsure as to why Output would be 10 and not 20,0,0,0,2016-10-13 20:17:03.374806+00:00
145,291,"We have no idea what type product is, or the value.",0,0,0,2016-10-13 20:12:46.950118+00:00
145,293,Theoretically it would execute an infinite number of times,0,0,0,2016-10-13 20:06:39.350589+00:00
375,307,The main method can only be called once.,0,0,0,2016-10-12 15:44:45.438453+00:00
472,291,,0,0,0,2016-10-10 17:18:08.959449+00:00
472,292,这题错了,0,0,0,2016-10-10 17:15:02.289735+00:00
472,292,.,0,0,0,2016-10-10 17:10:48.282043+00:00
472,295,what?,0,0,0,2016-10-10 16:44:12.974056+00:00
472,305,"qq1079832777
微信:qyj1079832777",0,0,0,2016-10-10 16:41:44.576902+00:00
472,296,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:32:31.189191+00:00
472,298,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:32:15.958998+00:00
472,300,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:31:56.723001+00:00
472,301,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:31:37.144152+00:00
472,302,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:31:26.178969+00:00
472,303,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:31:13.459465+00:00
472,304,"qq:1079832777
微信:qyj1079832777",0,0,0,2016-10-09 08:30:59.631110+00:00
472,294,qq:1079832777 ,0,0,0,2016-10-09 08:20:04.840706+00:00
472,289, the test condition is always false ,0,0,0,2016-10-09 08:19:21.691594+00:00
472,288,i = i + 1; ,0,0,0,2016-10-09 08:10:43.818024+00:00
472,282,Compile-time ,0,0,0,2016-10-09 08:09:33.448430+00:00
472,296,x is 1 not 1 or 2 ,0,0,0,2016-10-09 08:08:41.214257+00:00
472,303,main method ,0,0,0,2016-10-09 08:07:56.372880+00:00
472,302,True ,0,0,0,2016-10-09 08:07:18.879468+00:00
472,301,constructor ,0,0,0,2016-10-09 08:06:33.348980+00:00
472,300,None of the above. ,0,0,0,2016-10-09 08:05:09.840443+00:00
472,299,"In a class, you can have two methods with the same number and type of input arguments and different return type. ",0,0,0,2016-10-09 08:04:43.420026+00:00
472,304,constructor,0,0,0,2016-10-09 08:02:57.250638+00:00
472,298,"
I think correct answer is Box obj = new Box(); 
",0,0,0,2016-10-09 08:02:21.052744+00:00
130,265,\t is just a tab,0,0,0,2016-10-07 22:28:46.878872+00:00
145,297,Null?,0,0,0,2016-10-07 17:40:41.342872+00:00
326,300,,0,0,0,2016-10-05 21:02:45.129940+00:00
142,293,Prints an infinite amount of times,0,0,0,2016-10-05 17:06:27.219893+00:00
142,289,,0,0,0,2016-10-05 16:58:46.495624+00:00
371,298,!,0,0,0,2016-10-04 04:17:47.900255+00:00
371,296,the else belongs to the second if,0,0,0,2016-10-01 20:58:09.189259+00:00
371,294," outer 6, inner 24 
",0,0,0,2016-10-01 20:52:58.535638+00:00
371,292,"?
",0,0,0,2016-09-28 06:10:14.188163+00:00
345,287,iteration,0,0,0,2016-09-22 16:34:05.737239+00:00
345,285,"b1 is false and in the if statement it says b1 is true and in the if statement, both condition must be true in order to go in so the else statement will run ",0,0,0,2016-09-22 03:14:46.029927+00:00
345,286,I have no idea.. I guess because the value of var2 is changed during the if statement,0,0,0,2016-09-22 03:12:45.020246+00:00
371,286,?,0,0,0,2016-09-22 01:35:19.885900+00:00
403,285,"The boolean being declared false will cause the if statement to not execute, including the reassignment of the Output variable, which will remain at 10 as a result. The else statement will print out with the original value of the Output variable since it isn't changed.",0,0,0,2016-09-21 22:17:05.800384+00:00
403,284,"""++g"" increments the variable before it is used in the multiplication operation.",0,0,0,2016-09-21 22:14:13.295725+00:00
403,286,"var2 is reassigned  to 1 in the condition of the if statement, it isn't equal to var1 so the statement inside the if doesn't execute, but the else statement does. var2 is incremented to 2 before it is printed.",0,0,0,2016-09-21 21:07:59.585567+00:00
371,276,"do
while",0,0,0,2016-09-21 04:48:40.413848+00:00
371,284,(1+3)*8,0,0,0,2016-09-21 04:47:44.287567+00:00
371,275,"?
",0,0,0,2016-09-21 04:45:22.825836+00:00
